TITLE,Year,Value,County
Professional and Business Services per mil,2021,32857.53583763792,Yuba_County_per_mil
Private Education and Health Services per mil,2021,111043.188556408,Yuba_County_per_mil
Leisure and Hospitality per mil,2021,47131.46070850017,Yuba_County_per_mil
Other Services per mil,2021,11706.452303084025,Yuba_County_per_mil
Government per mil,2021,227465.84344530365,Yuba_County_per_mil
Federal Government per mil,2021,46092.24562154232,Yuba_County_per_mil
State Government per mil,2021,33377.14338111685,Yuba_County_per_mil
Local Government per mil,2021,147996.4544426445,Yuba_County_per_mil
Civilian Employment per mil,2022,946629.7157160736,Yuba_County_per_mil
Civilian Unemployment per mil,2022,53131.89105429406,Yuba_County_per_mil
"Total, All Industries per mil",2022,613355.9806901484,Yuba_County_per_mil
Total Farm per mil,2022,24584.30180582872,Yuba_County_per_mil
Total Nonfarm per mil,2022,588771.6788843197,Yuba_County_per_mil
Goods Producing per mil,2022,55873.41319506526,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2022,35252.39883187317,Yuba_County_per_mil
Manufacturing per mil,2022,20621.014363192084,Yuba_County_per_mil
Service Providing per mil,2022,532898.2656892545,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2022,73246.31980451755,Yuba_County_per_mil
Wholesale Trade per mil,2022,6466.416353775553,Yuba_County_per_mil
Retail Trade per mil,2022,44937.12378568448,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2022,21842.77966505751,Yuba_County_per_mil
Information per mil,2022,2741.522140771202,Yuba_County_per_mil
Financial Activities per mil,2022,5959.830740806961,Yuba_County_per_mil
Professional and Business Services per mil,2022,38977.29304487753,Yuba_County_per_mil
Private Education and Health Services per mil,2022,111508.43316049824,Yuba_County_per_mil
Leisure and Hospitality per mil,2022,56379.99880803385,Yuba_County_per_mil
Other Services per mil,2022,9684.724953811312,Yuba_County_per_mil
Government per mil,2022,234429.9421896418,Yuba_County_per_mil
Federal Government per mil,2022,43208.77287085047,Yuba_County_per_mil
State Government per mil,2022,32779.06907443828,Yuba_County_per_mil
Local Government per mil,2022,158442.10024435306,Yuba_County_per_mil
Civilian Employment per mil,2023,937899.2805755396,Yuba_County_per_mil
Civilian Unemployment per mil,2023,61870.503597122304,Yuba_County_per_mil
"Total, All Industries per mil",2023,598330.9352517986,Yuba_County_per_mil
Total Farm per mil,2023,17035.971223021585,Yuba_County_per_mil
Total Nonfarm per mil,2023,581294.964028777,Yuba_County_per_mil
Goods Producing per mil,2023,62820.14388489209,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2023,42446.04316546763,Yuba_County_per_mil
Manufacturing per mil,2023,20374.10071942446,Yuba_County_per_mil
Service Providing per mil,2023,518474.8201438849,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2023,66187.05035971223,Yuba_County_per_mil
Wholesale Trade per mil,2023,4086.330935251799,Yuba_County_per_mil
Retail Trade per mil,2023,43654.6762589928,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2023,18474.82014388489,Yuba_County_per_mil
Information per mil,2023,2877.6978417266187,Yuba_County_per_mil
Financial Activities per mil,2023,5985.611510791367,Yuba_County_per_mil
Professional and Business Services per mil,2023,37899.28057553957,Yuba_County_per_mil
Private Education and Health Services per mil,2023,116546.76258992808,Yuba_County_per_mil
Leisure and Hospitality per mil,2023,52287.76978417266,Yuba_County_per_mil
Other Services per mil,2023,5755.395683453237,Yuba_County_per_mil
Government per mil,2023,230935.25179856116,Yuba_County_per_mil
Federal Government per mil,2023,41956.8345323741,Yuba_County_per_mil
State Government per mil,2023,31884.89208633093,Yuba_County_per_mil
Local Government per mil,2023,157064.74820143884,Yuba_County_per_mil
Civilian Employment per mil,2024,932054.671241352,Yuba_County_per_mil
Civilian Unemployment per mil,2024,67720.34422633443,Yuba_County_per_mil
"Total, All Industries per mil",2024,,Yuba_County_per_mil
Total Farm per mil,2024,,Yuba_County_per_mil
Total Nonfarm per mil,2024,,Yuba_County_per_mil
Goods Producing per mil,2024,,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2024,,Yuba_County_per_mil
Manufacturing per mil,2024,,Yuba_County_per_mil
Service Providing per mil,2024,,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2024,,Yuba_County_per_mil
Wholesale Trade per mil,2024,,Yuba_County_per_mil
Retail Trade per mil,2024,,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2024,,Yuba_County_per_mil
Information per mil,2024,,Yuba_County_per_mil
Financial Activities per mil,2024,,Yuba_County_per_mil
Professional and Business Services per mil,2024,,Yuba_County_per_mil
Private Education and Health Services per mil,2024,,Yuba_County_per_mil
Leisure and Hospitality per mil,2024,,Yuba_County_per_mil
Other Services per mil,2024,,Yuba_County_per_mil
